v / Ch.,rounds,t LR / 10ms,N LR,rel delta N LR,Counting Rate LR,delta Counting Rate LR,rel delta Counting Rate LR,t RL / 10ms,N RL,delta N RL,Counting Rate RL,delta Counting Rate RL,rel delta Counting Rate RL
2.6,3,974,6223,0.0126765215630873,638.911704312115,8.09917799662141,0.0126765215630873,1024,6277,0.0126218767677408,612.98828125,7.73706254600674,0.0126218767677408
2.56,3,989,6300,0.0125988157669742,637.007077856421,8.02553481617166,0.0125988157669742,1040,6481,0.012421641451985,623.173076923077,7.74083252406874,0.012421641451985
2.52,3,1006,6401,0.012499023551926,636.282306163022,7.95290753040541,0.012499023551926,1059,6642,0.0122701695638718,627.195467422096,7.69579473496098,0.0122701695638718
2.48,3,1021,6373,0.0125264509093156,624.191968658178,7.81891005338571,0.0125264509093156,1075,6662,0.012251737572748,619.720930232558,7.5926582055486,0.012251737572748
2.44,3,1038,6398,0.0125019535828829,616.377649325626,7.70592476139546,0.0125019535828829,1095,6871,0.0120639638104791,627.488584474886,7.5699995745938,0.0120639638104791
2.4,3,1055,6652,0.0122609431774526,630.521327014218,7.73078616269334,0.0122609431774526,1112,6830,0.012100119186761,614.208633093525,7.4319976659692,0.012100119186761
2.36,3,1071,6662,0.012251737572748,622.03548085901,7.62101547242273,0.012251737572748,1131,6903,0.012035969077902,610.344827586207,7.346091471685,0.012035969077902
2.32,2,727,4566,0.0147989889676094,628.060522696011,9.29466074636927,0.0147989889676094,768,4739,0.014526354741081,617.057291666667,8.96359311432069,0.014526354741081
2.28,2,739,4527,0.0148625987355903,612.584573748309,9.10459871123375,0.0148625987355903,782,4865,0.0143370096546531,622.122762148338,8.91938004730016,0.0143370096546531
2.24,2,752,4730,0.0145401681725576,628.989361702128,9.14561109789862,0.0145401681725576,796,5008,0.0141308354736055,629.145728643216,8.89035478037896,0.0141308354736055
2.2,2,764,4740,0.0145248223443532,620.418848167539,9.01147354872173,0.0145248223443532,810,5010,0.0141280146660171,618.518518518519,8.73843870083278,0.0141280146660171
2.16,2,777,4795,0.0144412801895842,617.117117117117,8.91196119807674,0.0144412801895842,824,5049,0.014073344364025,612.742718446602,8.62333928324782,0.014073344364025
