threshold_1	Count_rate_1	relative uncertainty	threshold_2	Count rate_2	relative uncertainty
0	203940	0.00221436287939791	0	140231	0.00267041023870233
10	93476	0.00327076950568419	10	95105	0.00324263693392641
16	89580	0.00334113843963163	16	91642	0.00330333577409563
22	85135	0.00342725114203149	22	88665	0.00335833403473546
28	78700	0.0035646150289976	28	82499	0.00348157421962771
34	74363	0.00366708983250362	34	79353	0.00354991802890171
40	69715	0.00378736258188825	40	74137	0.00367267497663615
50	64135	0.0039486846407559	50	68742	0.00381407227309782
60	56065	0.00422332094998789	60	62490	0.00400032003840512
70	50783	0.00443752510848947	70	57668	0.00416420935145984
80	42107	0.00487329666169734	80	51642	0.00440046400938901
90	33787	0.00544032924998482	90	45043	0.00471179455470629
100	28825	0.0058900006405376	100	38136	0.00512073652139045
120	11206	0.00944658182960537	120	26509	0.00614190829131925
150	632	0.0397778642087865	150	368	0.0521286035142687
threshold_1	Count_rate_1	relative uncertainty	threshold_2	Count rate_2	relative uncertainty
0	91002	0.00331493129304272	0	66467	0.00387879619915302
10	359	0.0527779813969259	10	465	0.0463738895760168
16	250	0.0632455532033676	16	340	0.054232614454664
22	174	0.0758098043578903	22	198	0.0710669054518701
28	106	0.0971285862357264	28	143	0.0836242010007091
34	98	0.101015254455221	34	114	0.0936585811581694
40	71	0.118678165819385	40	85	0.108465228909328
50	48	0.144337567297406	50	64	0.125
60	59	0.130188910980824	60	59	0.130188910980824
70	42	0.154303349962092	70	48	0.144337567297406
80	34	0.171498585142509	80	28	0.188982236504614
90	37	0.164398987305357	90	25	0.2
100	21	0.218217890235992	100	19	0.229415733870562
120	20	0.223606797749979	120	13	0.277350098112615
150	7	0.377964473009227	150	4	0.5
