k / 1/m^2	width x sigma / mm	stat error / mm	sys error / mm	cum_error / mm
0	1.35	0.03	0.14	0.143178210632764
0.8	1.35	0.03	0.14	0.143178210632764
2	1.3	0.03	0.14	0.143178210632764
2.8	1.26	0.03	0.14	0.143178210632764
3.6	1.24	0.03	0.14	0.143178210632764
5.1	1.19	0.03	0.14	0.143178210632764
5.9	1.15	0.03	0.14	0.143178210632764
7.5	1.10	0.03	0.14	0.143178210632764
9.5	1.05	0.03	0.14	0.143178210632764
11.1	1.0	0.03	0.14	0.143178210632764
13	0.92	0.01	0.14	0.140356688476182
15.8	0.85	0.01	0.14	0.140356688476182
19	0.78	0.01	0.14	0.140356688476182
24.1	0.65	0.01	0.14	0.140356688476182
28.1	0.57	0.01	0.14	0.140356688476182
32	0.52	0.01	0.14	0.140356688476182
35.2	0.50	0.01	0.14	0.140356688476182
38	0.52	0.01	0.14	0.140356688476182
36	0.51	0.01	0.14	0.140356688476182
34.8	0.51	0.01	0.14	0.140356688476182
33.6	0.52	0.01	0.14	0.140356688476182
38.7	0.54	0.01	0.14	0.140356688476182
39.5	0.55	0.01	0.14	0.140356688476182
41.5	0.57	0.01	0.14	0.140356688476182
43.1	0.59	0.01	0.14	0.140356688476182
46.3	0.64	0.03	0.14	0.143178210632764
48.2	0.67	0.03	0.14	0.143178210632764
52.2	0.75	0.03	0.14	0.143178210632764
58.1	0.88	0.03	0.14	0.143178210632764
