k / 1/m^2	width z	stat_error / mm	sys_error / mm	cum_error / mm
0	1.03	0.03	0.08	0.09
-3.2	0.93	0.03	0.08	0.09
-5.1	0.88	0.03	0.08	0.09
-8.3	0.81	0.03	0.08	0.09
-10.3	0.76	0.03	0.08	0.09
-12.3	0.71	0.03	0.08	0.09
-13.8	0.67	0.03	0.08	0.09
-16.2	0.62	0.03	0.08	0.09
-19	0.58	0.03	0.08	0.09
-20.6	0.54	0.01	0.08	0.08
-24.1	0.5	0.01	0.08	0.08
-26.5	0.49	0.01	0.08	0.08
-30	0.5	0.01	0.08	0.08
-28.9	0.49	0.01	0.08	0.08
-27.7	0.5	0.01	0.08	0.08
-32.4	0.52	0.01	0.08	0.08
-34.4	0.55	0.01	0.08	0.08
-38	0.6	0.03	0.08	0.09
-41.1	0.66	0.03	0.08	0.09
-45.1	0.72	0.03	0.08	0.09
-48.2	0.79	0.03	0.08	0.09
-55.4	0.95	0.03	0.08	0.09
