k / 1/m^2	width x sigma / mm	stat_error	sys_error	cum_error
0	1.38	0.03	0.14	0.14
8.7	1.13	0.03	0.14	0.14
11.9	1.04	0.03	0.14	0.14
15	0.95	0.03	0.14	0.14
18.2	0.88	0.03	0.14	0.14
20.6	0.82	0.03	0.14	0.14
25.3	0.75	0.03	0.14	0.14
29.7	0.65	0.03	0.14	0.14
34	0.61	0.03	0.14	0.14
40.3	0.58	0.01	0.14	0.14
44.3	0.57	0.01	0.14	0.14
50.2	0.6	0.01	0.14	0.14
47.4	0.6	0.01	0.14	0.14
43.9	0.57	0.01	0.14	0.14
42.7	0.56	0.01	0.14	0.14
41.9	0.56	0.01	0.14	0.14
51	0.61	0.03	0.14	0.14
54.6	0.65	0.03	0.14	0.14
60.1	0.73	0.03	0.14	0.14
66.8	0.83	0.03	0.14	0.14
75.9	1.0	0.03	0.14	0.14
