k / 1/m^2	width z	stat_error	sys_error	cum_error
0	0.95	0.03	0.07	0.08
-6.3	0.83	0.03	0.07	0.08
-10.3	0.78	0.03	0.07	0.08
-14.2	0.71	0.03	0.07	0.08
-19.4	0.63	0.03	0.07	0.08
-24.1	0.57	0.03	0.07	0.08
-28.5	0.53	0.03	0.07	0.08
-33.2	0.5	0.03	0.07	0.08
-36.4	0.49	0.01	0.07	0.07
-38	0.47	0.01	0.07	0.07
-39.9	0.47	0.01	0.07	0.07
-42.3	0.48	0.01	0.07	0.07
-45.9	0.49	0.01	0.07	0.07
-39.1	0.48	0.01	0.07	0.07
-37.6	0.48	0.01	0.07	0.07
-41.1	0.47	0.01	0.07	0.07
-42.7	0.48	0.01	0.07	0.07
-44.3	0.48	0.01	0.07	0.07
-47.4	0.5	0.03	0.07	0.08
-49.8	0.51	0.03	0.07	0.08
-52.6	0.53	0.03	0.07	0.08
-55	0.55	0.03	0.07	0.08
-58.5	0.57	0.03	0.07	0.08
-65.2	0.62	0.03	0.07	0.08
-70.4	0.68	0.03	0.07	0.08
-81.4	0.79	0.03	0.07	0.08
-90.5	0.9	0.03	0.07	0.08
